medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
354;Bronze Medal;3.0;2024-08-02;Sophiane METHOT;W;Trampoline Gymnastics;Women;ATH;/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;1973102;CAN;Canada;Canada
355;Gold Medal;1.0;2024-08-03;LIM Sihyeon;W;Archery;Women's Individual;HATH;/en/paris-2024/results/archery/women-s-individual/fnl-000100--;1902147;KOR;Korea;Republic of Korea
356;Silver Medal;2.0;2024-08-03;NAM Suhyeon;W;Archery;Women's Individual;HATH;/en/paris-2024/results/archery/women-s-individual/fnl-000100--;1902148;KOR;Korea;Republic of Korea
357;Bronze Medal;3.0;2024-08-03;Lisa BARBELIN;W;Archery;Women's Individual;HATH;/en/paris-2024/results/archery/women-s-individual/fnl-000200--;1541265;FRA;France;France
358;Gold Medal;1.0;2024-08-03;Carlos Edriel YULO;M;Artistic Gymnastics;Men's Floor Exercise;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;1975874;PHI;Philippines;Philippines
359;Silver Medal;2.0;2024-08-03;Artem DOLGOPYAT;M;Artistic Gymnastics;Men's Floor Exercise;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;1908195;ISR;Israel;Israel
360;Bronze Medal;3.0;2024-08-03;Jake JARMAN;M;Artistic Gymnastics;Men's Floor Exercise;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;1904741;GBR;Great Britain;Great Britain
361;Gold Medal;1.0;2024-08-03;Rhys MC CLENAGHAN;M;Artistic Gymnastics;Men's Pommel Horse;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;1539986;IRL;Ireland;Ireland
362;Silver Medal;2.0;2024-08-03;Nariman KURBANOV;M;Artistic Gymnastics;Men's Pommel Horse;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;1931577;KAZ;Kazakhstan;Kazakhstan
363;Bronze Medal;3.0;2024-08-03;Stephen NEDOROSCIK;M;Artistic Gymnastics;Men's Pommel Horse;ATH;/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;1959865;USA;United States;United States of America
364;Gold Medal;1.0;2024-08-03;Simone BILES;W;Artistic Gymnastics;Women's Vault;ATH;/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--;1959861;USA;United States;United States of America
365;Silver Medal;2.0;2024-08-03;Rebeca ANDRADE;W;Artistic Gymnastics;Women's Vault;ATH;/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--;1953634;BRA;Brazil;Brazil
366;Bronze Medal;3.0;2024-08-03;Jade CAREY;W;Artistic Gymnastics;Women's Vault;ATH;/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--;1959819;USA;United States;United States of America
367;Gold Medal;1.0;2024-08-03;Netherlands;X;Athletics;4 x 400m Relay Mixed;TEAM;/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;ATHX4X400M--NED01;NED;Netherlands;Netherlands
368;Silver Medal;2.0;2024-08-03;United States;X;Athletics;4 x 400m Relay Mixed;TEAM;/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;ATHX4X400M--USA01;USA;United States;United States of America
369;Bronze Medal;3.0;2024-08-03;Great Britain;X;Athletics;4 x 400m Relay Mixed;TEAM;/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;ATHX4X400M--GBR01;GBR;Great Britain;Great Britain
370;Gold Medal;1.0;2024-08-03;Markus ROOTH;M;Athletics;Men's Decathlon;ATH;/en/paris-2024/results/athletics/men-s-decathlon/1500--------;1878353;NOR;Norway;Norway
371;Silver Medal;2.0;2024-08-03;Leo NEUGEBAUER;M;Athletics;Men's Decathlon;ATH;/en/paris-2024/results/athletics/men-s-decathlon/1500--------;1920180;GER;Germany;Germany
372;Bronze Medal;3.0;2024-08-03;Lindon VICTOR;M;Athletics;Men's Decathlon;ATH;/en/paris-2024/results/athletics/men-s-decathlon/1500--------;1573388;GRN;Grenada;Grenada
373;Gold Medal;1.0;2024-08-03;Ryan CROUSER;M;Athletics;Men's Shot Put;ATH;/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--;1960688;USA;United States;United States of America
374;Silver Medal;2.0;2024-08-03;Joe KOVACS;M;Athletics;Men's Shot Put;ATH;/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--;1965246;USA;United States;United States of America
375;Bronze Medal;3.0;2024-08-03;Rajindra CAMPBELL;M;Athletics;Men's Shot Put;ATH;/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--;1564189;JAM;Jamaica;Jamaica
376;Gold Medal;1.0;2024-08-03;Julien ALFRED;W;Athletics;Women's 100m;ATH;/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;1537325;LCA;Saint Lucia;Saint Lucia
377;Silver Medal;2.0;2024-08-03;Sha'carri RICHARDSON;W;Athletics;Women's 100m;ATH;/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;1960181;USA;United States;United States of America
378;Bronze Medal;3.0;2024-08-03;Melissa JEFFERSON;W;Athletics;Women's 100m;ATH;/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;1961011;USA;United States;United States of America
379;Gold Medal;1.0;2024-08-03;Thea LAFOND;W;Athletics;Women's Triple Jump;ATH;/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--;1908333;DMA;Dominica;Dominica
380;Silver Medal;2.0;2024-08-03;Shanieka RICKETTS;W;Athletics;Women's Triple Jump;ATH;/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--;1536885;JAM;Jamaica;Jamaica
381;Bronze Medal;3.0;2024-08-03;Jasmine MOORE;W;Athletics;Women's Triple Jump;ATH;/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--;1965250;USA;United States;United States of America
382;Gold Medal;1.0;2024-08-03;CHEN/JIA;W;Badminton;Women's Doubles;HCOUP;/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--;BDMWDOUBLES-CHN02;CHN;China;People's Republic of China
383;Silver Medal;2.0;2024-08-03;LIU/TAN;W;Badminton;Women's Doubles;HCOUP;/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--;BDMWDOUBLES-CHN01;CHN;China;People's Republic of China
384;Bronze Medal;3.0;2024-08-03;MATSUYAMA/SHIDA;W;Badminton;Women's Doubles;HCOUP;/en/paris-2024/results/badminton/women-s-doubles/fnl-000200--;BDMWDOUBLES-JPN01;JPN;Japan;Japan
385;Bronze Medal;3.0;2024-08-03;WU Shih Yi;W;Boxing;Women's 60kg;HATH;/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--;1887970;TPE;Chinese Taipei;Chinese Taipei
386;Bronze Medal;3.0;2024-08-03;Beatriz Iasmin SOARES FERREIRA;W;Boxing;Women's 60kg;HATH;/en/paris-2024/results/boxing/women-s-60kg/sfnl000200--;1952540;BRA;Brazil;Brazil
387;Gold Medal;1.0;2024-08-03;Remco EVENEPOEL;M;Cycling Road;Men's Road Race;ATH;/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--;1903136;BEL;Belgium;Belgium
